the topology category statisticcal information
the total topology number is: 176
type      Event Number
0         4179      
1         3436      
2         881       
4         751       
6         662       
7         643       
14        457       
19        412       
32        240       
27        186       
13        89        
17        75        
30        61        
42        60        
23        59        
60        56        
12        55        
52        53        
55        52        
5         51        
41        51        
9         51        
53        50        
11        47        
3         44        
25        43        
21        39        
24        36        
29        35        
48        32        
31        30        
36        28        
26        27        
16        27        
44        26        
56        25        
58        23        
34        21        
47        19        
46        19        
51        17        
99        15        
50        14        
86        13        
45        13        
28        12        
89        12        
67        12        
54        11        
105       11        
101       10        
59        9         
63        9         
43        8         
38        7         
84        7         
97        7         
20        6         
71        6         
8         6         
117       6         
139       6         
62        5         
35        5         
72        5         
64        5         
95        4         
75        4         
80        4         
81        4         
40        4         
106       4         
109       4         
39        4         
130       4         
66        4         
143       4         
147       4         
22        3         
103       3         
85        3         
73        3         
87        3         
116       3         
49        3         
125       3         
127       3         
94        3         
76        3         
68        3         
146       3         
37        3         
112       2         
114       2         
69        2         
57        2         
118       2         
120       2         
121       2         
100       2         
79        2         
15        2         
133       2         
61        2         
82        2         
83        2         
111       2         
166       2         
108       1         
90        1         
110       1         
91        1         
92        1         
113       1         
93        1         
115       1         
10        1         
74        1         
96        1         
119       1         
65        1         
98        1         
122       1         
123       1         
124       1         
70        1         
126       1         
77        1         
128       1         
129       1         
78        1         
131       1         
132       1         
102       1         
134       1         
135       1         
136       1         
137       1         
138       1         
18        1         
140       1         
141       1         
142       1         
104       1         
144       1         
145       1         
88        1         
33        1         
148       1         
149       1         
150       1         
151       1         
152       1         
153       1         
154       1         
155       1         
156       1         
157       1         
158       1         
159       1         
160       1         
161       1         
162       1         
163       1         
164       1         
165       1         
107       1         
167       1         
168       1         
169       1         
170       1         
171       1         
172       1         
173       1         
174       1         
175       1         
